ar_gemi,co_name_el,co_titles_el,afm,legal_type_descr,prefecture_descr,email,phone,url,discovered_url
1201000,ΓΡ. ΠΑΝ. ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ & ΣΙΑ Ο.Ε.,KEYSTONE ,092568078,ΟΕ,ΑΤΤΙΚΗΣ,grigoris999@gmail.com,2108661142,www.keystone.gr,
241601000,ΙΟΝΙΚΗ ΞΕΝΟΔΟΧΕΙΑΚΑΙ ΕΠΙΧΕΙΡΗΣΕΙΣ Α.Ε.,The Ilisian ,094006888,ΑΕ,ΑΘΗΝΩΝ,sofia.konstantiou@ionianhe.gr,2107281771,ionianhe.gr,
267201000,"ΑΛΦΑ-ΒΗΤΑ"" ΒΑΣΙΛΟΠΟΥΛΟΣ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ",ΑΒ ΒΑΣΙΛΟΠΟΥΛΟΣ ... και του πουλιού το γάλα!,094025817,ΑΕ,ΑΘΗΝΩΝ,rmaniati@ab.gr,2106608125,www.ab.gr,
294201000,SONY MUSIC ENTERTAINMENT GREECE ΜΟΝΟΠΡΟΣΩΠΗ AΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,,094050979,ΑΕ,ΑΤΤΙΚΗΣ,chris.markezinis@sonymusic.com,2106529112,,https://www.sonymusic.com/
299401000,ΜΕΤΡΟ Ανώνυμη Εμπορική και Βιομηχανική Εταιρεία Ειδών Διατροφής και Οικιακής Χρήσης,METΡΟ,094062259,ΑΕ,ΑΤΤΙΚΗΣ,v.angelopoulou@metro.com.gr,2102893831,www.metro.com.gr/,
311801000,"ΤΡΙΜ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ΕΙΔΩΝ ΑΥΤΟΚΙΝΗΤΟΥ,  ΕΚΔΟΣΕΩΝ ΠΕΡΙΟΔΙΚΟΥ ΤΥΠΟΥ, ΔΙΑΦΗΜΙΣΤΙΚΩΝ ΕΡΓΑΣΙΩΝ KΑΙ ΠΡΟΣΦΟΡΑΣ ΥΠΗΡΕΣΙΩΝ ΔΙΑΔΙΚΤΥΟΥ",ΤΡΙΜ ΑΕ,094074861,ΑΕ,ΑΤΤΙΚΗΣ,info@trim.gr,2105810581,www.trim.gr,
329201000,"ΚΑΝΑΒΟΠΑΝ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ Εμπορικαί, Τεχνικαί, Τουριστικαί, Βιομηχανικαί και Διαφημιστικαί Επιχειρήσεις",,094072173,ΑΕ,ΑΤΤΙΚΗΣ,gem@altaxis.com,2103247693,www.exhibinfo.com,
342101000,"ΤΖΕΙ  ΤΙ ΙΝΤΕΡΝΑΣΙΟΝΑΛ ΕΛΛΑΣ ΑΝΩΝΥΜΗ, ΕΜΠΟΡΙΚΗ, ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ -J.T.INTERNATIONAL HELLAS AEBE",,094105934,ΑΕ,ΑΤΤΙΚΗΣ,georgia.petropoulou@jti.com,2107455700,,https://www.jti.com/
342501000,ΤΕΛΕΚΟΜΠΛΕΞ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΙΑ ΤΗΛΕΟΠΤΙΚΩΝ – ΚΙΝΗΜΑΤΟΓΡΑΦΙΚΩΝ ΚΑΙ ΔΙΑΦΗΜΙΣΤΙΚΩΝ  ΕΠΙΧΕΙΡΗΣΕΩΝ,ΤΕLECOMPLEX s.a.,094106537,ΑΕ,ΑΘΗΝΩΝ,tlchti@tellas.gr,2103620533,www.telecomplec.gr,
345601000,Dentsu Greece - ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΑΡΟΧΗΣ ΔΙΑΦΗΜΙΣΤΙΚΩΝ ΥΠΗΡΕΣΙΩΝ,,094102460,ΑΕ,ΑΤΤΙΚΗΣ,giorgos.petrakis@dentsu.com,2111012216,,https://www.dentsu.com/
