ar_gemi,co_name_el,co_titles_el,afm,legal_type_descr,prefecture_descr,email,phone,url,discovered_url
345601000,Dentsu Greece - ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΑΡΟΧΗΣ ΔΙΑΦΗΜΙΣΤΙΚΩΝ ΥΠΗΡΕΣΙΩΝ,,094102460,ΑΕ,ΑΤΤΙΚΗΣ,giorgos.petrakis@dentsu.com,2111012216,,https://www.dentsu.com/
351901000,ΣΤΑΥΡΟΣ ΛΕΟΥΣΗΣ -  ΔΙΑΦΗΜΙΣΤΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ Α.Ε.,SOLID HAVAS,094155673,ΑΕ,ΑΤΤΙΚΗΣ,log@solidhavas.gr,2108172100,www.solid.gr,
415101000,"MAGNET Ανώνυμη Διαφημιστική Εταιρεία, Σύμβουλοι Επιχειρήσεων",,094240763,ΑΕ,ΑΤΤΙΚΗΣ,olga.m@magnetathens.gr,2106892151,www.magnetad.gr,
428401000,ΕΛΜΑ ΔΙΑΦΗΜΙΣΤΙΚΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΩΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,,095065733,ΕΠΕ,ΑΤΤΙΚΗΣ,accounting@elmadvertising.gr,2103233287,www.elmaadvertising.eu,
470301000,C.C.M. INTERNATIONAL ΕΤΑΙΡΕΙΑ ΠΕΡΙΩΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,,095310743,ΕΠΕ,ΑΤΤΙΚΗΣ,daline@groupccm.com,2106146560,,https://groupccm.com/
576001000,ΕΘΝΙΚΟΣ ΚΗΡΥΞ ΤΗΣ ΝΕΑΣ ΥΟΡΚΗΣ ΕΛΛΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΩΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,,095443275,ΕΠΕ,ΑΤΤΙΚΗΣ,amglogistirio@gmail.com,2103607268,www.ekirikas.blogspot.gr,
662801000,"ΣΠΡΙΝΤ, ΔΙΑΦΗΜΙΣΤΙΚΗ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ",SPRINT,094282416,ΑΕ,ΑΤΤΙΚΗΣ,spanos@sprint-adv.gr,2106845570,,https://www.sprint-adv.gr/
772201000,INITIATIVE MEDIA ΔΙΑΦΗΜΙΣΤΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΙΝΙTIATIVE MEDIA ATHENS,094348620,ΑΕ,ΑΤΤΙΚΗΣ,sbakratsa@htplaw.com.gr,2106798800,www.initiative.gr,
774201000,ΜΕΙΛΙΧΟΣ ΔΙΑΦΗΜΙΣΤΙΚΗ ΤΟΥΡΙΣΤΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΜΕΙΛΙΧΟΣ,094281470,ΑΕ,ΑΤΤΙΚΗΣ,karelas@otenet.gr,2103626164,http://www.meilixos.gr,
793401000,ΚΟΜΠΑΚΤ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ-ΕΠΙΚΟΙΝΩΝΙΑ ΚΑΙ ΕΝΕΡΓΕΙΕΣ ΠΡΟΩΘΗΣΗΣ,COMPACT,095617581,ΕΠΕ,ΑΤΤΙΚΗΣ,lpirounaki@compactad.gr,2108032130,,https://compactad.gr/
