#,services,company,brand,legal,prefecture,website,email,phone,afm,ar_gemi,evidence,duplicate_of
1,SMS + Email + Cold calling,NOYZIT ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,NOOSEIT,ΙΚΕ,ΑΤΤΙΚΗΣ,https://nooseit.com/,stamatoudis.ioannis@gmail.com,2112120506,800713689,137943201000,"SMS: SMS Text Messaging, Viber & WhatsApp Campaigns || Email: Email & CRM Marketing Automation Email Campaigns & Database Marketing || Cold calling: Sales, Call Center & Customer Lifecycle Operations",
2,SMS + Email,DEVA GROUP ΕΤΑΙΡΕΙΑ ΤΕΧΝΟΛΟΓΙΑΣ ΚΑΙ ΕΠΙΚΟΙΝΩΝΙΑΣ ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.,DEVA GROUP  ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.,ΙΚΕ,ΑΤΤΙΚΗΣ,https://deva.gr/,ek@deva.gr,2108013354,801263451,152999801000,SMS: Remind your customers about your special offers through all media available. Social media. Newsletter. SMS. Viber. Αpp Notification. Chatbot. || Email: Remind your customers about your special offers through all media available. Social media. Newsletter. SMS. Viber. Αpp Notification. Chatbot.,
3,SMS + Email,LOOP MEDIA Ι.Κ.Ε.,LOOP MEDIA,ΙΚΕ,ΑΧΑΙΑΣ,https://loopmedia.gr/,nikos@loopmedia.gr,6909180978,801614359,160165516000,"SMS: Lifecycle email, SMS, loyalty. || Email: Lifecycle email, SMS, loyalty.",
4,SMS + Email,NUCLEUS ADVERTISING ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.,NUCLEUS ADVERTISING,ΙΚΕ,ΘΕΣΣΑΛΟΝΙΚΗΣ,https://nucleusadv.gr/,info@nucleusadv.gr,6949463598,801308577,154060106000,SMS: Direct Messaging || Email: Email Marketing,
5,SMS + Email,PARAGON ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ,PARAGON MARKETING & MANAGEMENT,ΙΚΕ,ΑΤΤΙΚΗΣ,https://paragonmm.com/,accounting@paragonmm.com,6945586264,800421299,121614103000,SMS: Email & SMS Loyalty Flows || Email: Email & SMS Loyalty Flows,
6,SMS + Email,PDA ADVERTISING &ΣΙΑ  Ο.Ε.,PDA ADVERTISING,ΟΕ,ΑΧΑΙΑΣ,https://pdams.gr/,andreas.zafiropoulos@pdams.gr,2610362397,801032163,147413216000,SMS: Interactive SMS – Short & Long Code || Email: Email Marketing,
7,SMS + Email,VISION GROUP ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ,VISION GROUP,ΙΚΕ,ΗΡΑΚΛΕΙΟΥ,https://www.visionadv.gr/,info@bafaki.gr,2810314919,800887339,144040927000,SMS: SMS Marketing || Email: Email Marketing,117506627000
8,SMS + Email,VISIONADV ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΒΙΖΙΟΝΕΪΝΤΙΒΙ Μ.Ε.Π.Ε,ΕΠΕ,,https://www.visionadv.gr/,info@visionadv.gr,2810321020,800346260,117506627000,SMS: SMS Marketing || Email: Email Marketing,144040927000
9,SMS + Email,ΓΩΓΟΣ ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,BRANDIT NEW ERA ΜΟΝ. ΙΚΕ,ΙΚΕ,ΑΤΤΙΚΗΣ,https://brandit.gr/el/,logistirio@brandit.gr,2103833392,800485295,125026901000,SMS: SSMS & E-mail campaigns || Email: SSMS & E-mail campaigns,
10,SMS + Email,ΔΗΜΑΝΑ ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.,,ΙΚΕ,ΘΕΣΣΑΛΟΝΙΚΗΣ,https://k13creative.gr/,info@f13creative.gr,2310933030,801214733,151918506000,"SMS: Προώθηση της επιχείρησης σας με χρήση Social Media, Email Marketing, SMS Marketing, Google adwords, SEO. || Email: Προώθηση της επιχείρησης σας με χρήση Social Media, Email Marketing, SMS Marketing, Google adwords, SEO.",
11,SMS + Email,ΜΑΛΑΙ ΤΖΟΝ,Agenz,ΑΤΟΜΙΚΗ,ΑΤΤΙΚΗΣ,https://agenz.gr/,info@agenz.gr,6946348096,169402252,183090403000,SMS: Our retention systems turn first-time buyers into lifetime customers through smart email and SMS flows. || Email: Our retention systems turn first-time buyers into lifetime customers through smart email and SMS flows.,
12,SMS + Email,ΟΦΑΚΟΓΛΟΥ Ι. ΚΑΙ ΣΙΑ Ε.Ε.,RISTART,ΕΕ,ΘΕΣΣΑΛΟΝΙΚΗΣ,https://www.ristart.gr/,ioannis@ristart.gr,2310530650,800803081,141400406000,"SMS: Viber, SMS || Email: Emails",
