match_count,text_too_thin_to_judge,page_chars,ar_gemi,co_name_el,co_titles_el,afm,legal_type_descr,prefecture_descr,email,phone,url,discovered_url,scanned_url,sms_marketing,sms_marketing_quote,email_marketing,email_marketing_quote,cold_calling,cold_calling_quote,same_business_as
3,False,6329,137943201000,NOYZIT ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,NOOSEIT,800713689,ΙΚΕ,ΑΤΤΙΚΗΣ,stamatoudis.ioannis@gmail.com,2112120506,http://www.nooseit.com,,https://nooseit.com/,True,"SMS Text Messaging, Viber & WhatsApp Campaigns",True,Email & CRM Marketing Automation Email Campaigns & Database Marketing,True,"Sales, Call Center & Customer Lifecycle Operations",
2,False,5000,152999801000,DEVA GROUP ΕΤΑΙΡΕΙΑ ΤΕΧΝΟΛΟΓΙΑΣ ΚΑΙ ΕΠΙΚΟΙΝΩΝΙΑΣ ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.,DEVA GROUP  ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.,801263451,ΙΚΕ,ΑΤΤΙΚΗΣ,ek@deva.gr,2108013354,www.deva.gr,,https://deva.gr/,True,Remind your customers about your special offers through all media available. Social media. Newsletter. SMS. Viber. Αpp Notification. Chatbot.,True,Remind your customers about your special offers through all media available. Social media. Newsletter. SMS. Viber. Αpp Notification. Chatbot.,False,,
2,False,6556,160165516000,LOOP MEDIA Ι.Κ.Ε.,LOOP MEDIA,801614359,ΙΚΕ,ΑΧΑΙΑΣ,nikos@loopmedia.gr,6909180978,https://loopmedia.gr/,,https://loopmedia.gr/,True,"Lifecycle email, SMS, loyalty.",True,"Lifecycle email, SMS, loyalty.",False,,
2,False,6664,154060106000,NUCLEUS ADVERTISING ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.,NUCLEUS ADVERTISING,801308577,ΙΚΕ,ΘΕΣΣΑΛΟΝΙΚΗΣ,info@nucleusadv.gr,6949463598,http://www.nucleusadv.gr,,https://nucleusadv.gr/,True,Direct Messaging,True,Email Marketing,False,,
2,False,4490,121614103000,PARAGON ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ,PARAGON MARKETING & MANAGEMENT,800421299,ΙΚΕ,ΑΤΤΙΚΗΣ,accounting@paragonmm.com,6945586264,,https://paragonmm.com/,https://paragonmm.com/,True,Email & SMS Loyalty Flows,True,Email & SMS Loyalty Flows,False,,
2,False,3898,147413216000,PDA ADVERTISING &ΣΙΑ  Ο.Ε.,PDA ADVERTISING,801032163,ΟΕ,ΑΧΑΙΑΣ,andreas.zafiropoulos@pdams.gr,2610362397,,https://pdams.gr/,https://pdams.gr/,True,Interactive SMS – Short & Long Code,True,Email Marketing,False,,
2,False,5000,144040927000,VISION GROUP ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ,VISION GROUP,800887339,ΙΚΕ,ΗΡΑΚΛΕΙΟΥ,info@bafaki.gr,2810314919,http://www.visionadv.gr/,,https://www.visionadv.gr/,True,SMS Marketing,True,Email Marketing,False,,117506627000
2,False,5000,117506627000,VISIONADV ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΒΙΖΙΟΝΕΪΝΤΙΒΙ Μ.Ε.Π.Ε,800346260,ΕΠΕ,,info@visionadv.gr,2810321020,www.visionadv.gr,,https://www.visionadv.gr/,True,SMS Marketing,True,Email Marketing,False,,144040927000
2,False,7288,125026901000,ΓΩΓΟΣ ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,BRANDIT NEW ERA ΜΟΝ. ΙΚΕ,800485295,ΙΚΕ,ΑΤΤΙΚΗΣ,logistirio@brandit.gr,2103833392,,https://brandit.gr/el/,https://brandit.gr/el/,True,SSMS & E-mail campaigns,True,SSMS & E-mail campaigns,False,,
2,False,4423,151918506000,ΔΗΜΑΝΑ ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.,,801214733,ΙΚΕ,ΘΕΣΣΑΛΟΝΙΚΗΣ,info@f13creative.gr,2310933030,,https://k13creative.gr/,https://k13creative.gr/,True,"Προώθηση της επιχείρησης σας με χρήση Social Media, Email Marketing, SMS Marketing, Google adwords, SEO.",True,"Προώθηση της επιχείρησης σας με χρήση Social Media, Email Marketing, SMS Marketing, Google adwords, SEO.",False,,
