kad_4digit,non_atomiki_count,atomiki_only_count,atomiki_included_count
4610,31,3,34
4611,4158,1917,6075
4612,4382,1953,6335
4613,4113,1707,5820
4614,9345,3513,12858
4615,3181,1618,4799
4616,3157,1688,4845
4617,7035,2752,9787
4618,13004,7464,20468
4619,5250,2004,7254
4620,6,1,7
4621,7908,5947,13855
4622,2673,2878,5551
4623,1346,1334,2680
4624,441,362,803
4630,57,7,64
4631,10707,7318,18025
4632,6655,5520,12175
4633,9479,5258,14737
4634,10024,6211,16235
4635,1838,787,2625
4636,9549,7338,16887
4637,5948,3182,9130
4638,10615,6279,16894
4639,3802,1450,5252
4640,25,6,31
4641,5403,5623,11026
4642,12571,11489,24060
4643,8336,6806,15142
4644,8211,7230,15441
4645,7413,4970,12383
4646,8203,4189,12392
4647,10115,8351,18466
4648,3199,3741,6940
4649,27158,26846,54004
4650,12115,7190,19305
4660,32,4,36
4661,3852,3524,7376
4662,1546,756,2302
4663,1271,417,1688
4664,26501,16866,43367
4670,26,6,32
4671,9840,6630,16470
4672,11371,13253,24624
4673,2772,2876,5648
4680,12,0,12
4681,8540,9218,17758
4682,3452,1804,5256
4683,18666,16470,35136
4684,9843,9590,19433
4685,7014,4465,11479
4686,4567,2357,6924
4687,2032,2044,4076
4689,10,0,10
4690,6824,4917,11741
