sector,count,pct_of_all_atomiki
Other / Unclassified,328554,51.28
"Retail Trade (Shops, Non-food)",86435,13.49
"Food & Beverage (Restaurants, Cafes, Catering)",38365,5.99
"Professional Services (Legal, Accounting, Consulting)",32772,5.12
Construction & Real Estate,31328,4.89
Wholesale & Import/Export,28631,4.47
Transport & Logistics,21106,3.29
Manufacturing & Industry,20744,3.24
"Agriculture, Fishing & Forestry",9475,1.48
Beauty & Personal Care,9255,1.44
Education & Training,8010,1.25
IT & Technology,6394,1.0
"Media, Arts & Entertainment",4915,0.77
Health & Medical,3887,0.61
Auto & Vehicles,3787,0.59
Cleaning & Facilities,3684,0.58
Financial Services & Insurance,1930,0.3
Tourism & Accommodation,1402,0.22
