legal_type_descr,count,pct_of_active
ΑΤΟΜΙΚΗ,662224,62.88
ΙΚΕ,114963,10.92
ΟΕ,94451,8.97
ΕΕ,90727,8.61
ΑΕ,54533,5.18
ΕΠΕ,19135,1.82
ΑΣΤΙΚΗ ΕΤΑΙΡΕΙΑ 784 Α.Κ.,5478,0.52
Υποκατάστημα Αλλοδαπής,3640,0.35
Ενεργειακή Κοινότητα,2419,0.23
Κοινοπραξία,2070,0.2
Κοιν.Σ.Επ.,1816,0.17
ΣυνΠΕ,660,0.06
ΛΟΙΠΩΝ ΥΠΟΧΡΕΩΝ,497,0.05
ΚΟΙΝΩΝΙΑ,244,0.02
Συνεταιρισμός,181,0.02
ΚΟΙΝΟΤΗΤΑ ΑΝΑΝΕΩΣΙΜΗΣ ΕΝΕΡΓΕΙΑΣ,47,0.0
ΚΟΙ.Σ.Π.Ε,41,0.0
ΕΝΕΡΓΕΙΑΚΗ ΚΟΙΝΟΤΗΤΑ ΠΟΛΙΤΩΝ,32,0.0
Συνεταιρισμός Εργαζομένων,30,0.0
Inadequate Info,15,0.0
ΕΝΩΣΗ ΠΡΟΣΩΠΩΝ,12,0.0
Ευρωπαϊκός Όμιλος Οικονομικού Σκοπού,6,0.0
Ευρωπαϊκή Συνεταιριστική Εταιρία (SCE),3,0.0
ΕΕ κατά μετοχές,1,0.0
