domain,n_companies,ar_gemi,co_name_el,source_url,url,discovered_url,website_source,status_descr
ike-greece.gr,302,146532136000,AGRO FAMILY ΦΟΥΝΤΟΓΛΟΥ Ι.Κ.Ε.,http://ike-greece.gr/favicon.ico,http://ike-greece.gr/800994237,,,Ενεργή
ike-greece.gr,302,146532940000,AGRO FARM ΠΑΡΛΑΝΤΖΑΣ Ι.Κ.Ε.,http://ike-greece.gr/favicon.ico,http://ike-greece.gr/800994305,,,Ενεργή
ike-greece.gr,302,168604336000,AGRO SXΕIMA Ι.Κ.Ε.,http://www.ike-greece.gr/favicon.ico,http://www.ike-greece.gr/802035556,,,Ενεργή
ike-greece.gr,302,146907104000,AGRO ΖΟΡΜΠΑΣ Ι.Κ.Ε.,http://ike-greece.gr/favicon.ico,http://ike-greece.gr/801011200,,,Ενεργή
ike-greece.gr,302,146949104000,AGRO ΜΙΧΑΗΛΙΔΗΣ Ι.Κ.Ε.,http://ike-greece.gr/favicon.ico,http://ike-greece.gr/801012902,,,Ενεργή
ike-greece.gr,302,168308326000,AGRO ΤΣΑΚΑΛΟΣ ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.,http://www.ike-greece.gr/favicon.ico,http://www.ike-greece.gr/802021908,,,Ενεργή
ike-greece.gr,302,152783252000,AGROENERGY ΑΓΓΙΣΤΑΣ Α.Ε.,http://www.ike-greece.gr/favicon.ico,http://www.ike-greece.gr/996962957,,,Ενεργή
ike-greece.gr,302,153466921000,AGROENERGY ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ IKE,http://www.ike-greece.gr/favicon.ico,http://www.ike-greece.gr/996889866,,,Ενεργή
ike-greece.gr,302,157059410000,AGROENERGY ΑΡΡΙΑΝΩΝ ΙΚΕ,http://www.ike-greece.gr/favicon.ico,http://www.ike-greece.gr/996905127,,,Ενεργή
ike-greece.gr,302,153003004000,AGROENERGY ΕΥΟΣΜΟΥ ΙΚΕ,http://www.ike-greece.gr/favicon.ico,http://www.ike-greece.gr/997314269,,,Ενεργή
ike-greece.gr,302,157111746000,AGROENERGY ΞΑΝΘΗΣ Ι.Κ.Ε.,http://www.ike-greece.gr/favicon.ico,http://www.ike-greece.gr/997116820,,,Ενεργή
ike-greece.gr,302,153777411000,AGROENERGY ΠΟΙΜΕΝΙΚΟΥ ΙΚΕ,http://www.ike-greece.gr/favicon.ico,http://www.ike-greece.gr/996904850,,,Ενεργή
