"company","tier","verdict","email","phone","municipality","prefecture","legal_type","founded","socials","social_urls","kad","ar_gemi","afm","email_domain"
"ABILITY YACHTING HELLAS LIMITED","A","verified-no-site","meropi@seagreece.co","2169002985","ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ / ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2023","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","169237801001","996569084","seagreece.co"
"AEGEAN SEADANCER ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ","A","verified-no-site","info@kefko.gr","2105751016","ΘΗΡΑΣ / ΘΗΡΑΣ","ΚΥΚΛΑΔΩΝ","ΙΚΕ","2022","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","166854638000","801948894","kefko.gr"
"AEGEAN VIBES ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.","A","verified-no-site","acc@uplink.com.gr","2109838760","ΠΑΤΡΕΩΝ / ΑΧΑΙΑΣ","ΑΧΑΙΑΣ","ΙΚΕ","2023","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΠΛΟΙΩΝ ΨΥΧΑΓΩΓΙΑΣ (ΚΟΤΕΡΩΝ, ΘΑΛΑΜΗΓΩΝ, ΒΕΝΖΙΝΑΚΑΤΩΝ ΚΛΠ), ΧΩΡΙΣ ΠΛΗΡΩΜΑ","173918716000","802300553","uplink.com.gr"
"AELIA YACHTING LIMITED YΠΟΚΑΤΑΣΤΗΜΑ ΑΛΛΟΔΑΠΗΣ","A","verified-no-site","welcome@amaltheia-consulting.gr","2108947049","ΠΕΙΡΑΙΩΣ / ΠΕΙΡΑΙΩΣ","ΠΕΙΡΑΙΑ","Υποκατάστημα Αλλοδαπής","2023","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","168002907001","996568390","amaltheia-consulting.gr"
"AETHER SAILING ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.","A","verified-no-site","accounting@powerofcube.gr","6944576860","ΑΛΙΜΟΥ / ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","ΙΚΕ","2024","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","180533303000","802666587","powerofcube.gr"
"AF SAILING Ι.Κ.Ε.","A","verified-no-site","office@i-christopoulos.gr","6942019066","ΠΑΤΡΕΩΝ / ΑΧΑΙΑΣ","ΑΧΑΙΑΣ","ΙΚΕ","2022","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","162321416000","801731263","i-christopoulos.gr"
"AGIOS CRUISING Ι.Κ.Ε.","A","verified-no-site","giota@mythos-sailling.gr","6937504045","ΠΕΙΡΑΙΩΣ / ΠΕΙΡΑΙΩΣ","ΑΤΤΙΚΗΣ","ΙΚΕ","2023","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","172547107000","802228225","mythos-sailling.gr"
"AILLEMAC PROPERTIES LIMITED ΥΠΟΚΑΤΑΣΤΗΜΑ ΑΛΛΟΔΑΠΗΣ","A","verified-no-site","info@exantas.com.gr","2109484120","ΚΑΛΛΙΘΕΑΣ / ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","","Υποκατάστημα Αλλοδαπής","2025","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","183057802001","996423243","exantas.com.gr"
"AKTOR MARINE ΝΑΥΤΙΛΙΑΚΗ, ΨΥΧΑΓΩΓΙΑΣ ΚΑΙ ΣΥΜΜΕΤΟΧΩΝ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ","A","verified-no-site","info@aktor.gr","2106674700","ΠΑΙΑΝΙΑΣ / ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ","ΑΤΤΙΚΗΣ","ΑΕ","2025","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΠΛΟΙΩΝ ΨΥΧΑΓΩΓΙΑΣ (ΚΟΤΕΡΩΝ, ΘΑΛΑΜΗΓΩΝ, ΒΕΝΖΙΝΑΚΑΤΩΝ ΚΛΠ), ΧΩΡΙΣ ΠΛΗΡΩΜΑ","185054701000","802906956","aktor.gr"
"ALL SOLUTIONS ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.","A","verified-no-site","INFO@FASERVICES.GR","2104904835","ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ / ΠΕΙΡΑΙΩΣ","ΑΤΤΙΚΗΣ","ΙΚΕ","2020","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","154978407000","801353930","faservices.gr"
